Pop,Treat,Repro,Diap,fraction
North,13,0,58,0
North,14,0,29,0
North,14.5,0,31,0
North,15,49,2,0.960784314
North,16,43,0,1
South,13,0,35,0
South,14,17,14,0.548387097
South,14.5,25,10,0.714285714
South,15,13,0,1
South,16,27,0,1
