lwr,cp,upr,population,year
15.34,15.53,15.72,"Palermo, CA",2014
15.42,15.62,15.82,"Sutherlin, OR",2014
15.97,16.2,16.42,"Ephrata, WA",2014
15.92,16.15,16.38,"Bellingham, WA",2014
14.71,15.13,15.54,"Palermo, CA",2019
15.49,15.89,16.29,"McArthur, CA",2019
14.04,14.52,15,"Sutherlin, OR",2019
16.32,16.79,17.25,"Rickreall, OR",2019
15.48,15.9,16.31,"Yakima TC, WA",2019
16.1,16.56,17.02,"Bellingham, WA",2019
