"site","lat","lon"
"Lovell, WY",44.8505866666667,-108.201296
"Delta, UT",39.12649295,-112.83066115
"St. George, UT",37.0866402666667,-113.565203866667
"Princess, NV",35.2672013333333,-114.579920533333
"Big Bend, NV",35.0779542307692,-114.648906769231
"Blythe, CA",33.911892,-114.532853
"Cibola, CA",33.30366,-114.677389
"Imperial, AZ",33.037047,-114.522747
