species,site,x,y,biotype,cp_mean,cp_sd
DCA,FtCarson,-104.765,38.564,Ft. Carson,14.2,1
DCA,YumaPG,-114.522,33.0375,YumaPG,11.2,1
DCA,PinonCanyon,-104.156,37.493,Pinon Canyon,14.2,1
