ID,x,y
"Palermo, CA",-121.58,39.41
"Rickreall, OR",-123.27,44.98
"Yakima TC, WA",-119.99,46.76
"Sutherlin, OR",-123.32,43.39
"Bellingham, WA",-122.48,48.76
"McArthur, CA",-121.41,41.1
